2025-11-17 15:49:35, MOVE, v:1, k:poo@lapiseira, mode:DOWN
2025-11-17 15:49:57, MOVE, v:1, k:poo@lapiseira, mode:PICK
2025-11-17 15:51:34, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:0
2025-11-17 22:20:23, MOVE, v:1, k:poo@lapiseira, mode:PICK
2025-11-17 22:20:26, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:14
2025-11-17 22:27:16, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:31
2025-11-17 22:28:54, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:31
2025-11-17 22:29:22, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:34
2025-11-17 22:30:25, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:34
2025-11-17 22:31:34, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:34
2025-11-17 22:45:34, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:39
2025-11-17 22:45:45, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:37
2025-11-17 22:46:31, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:37
2025-11-17 22:50:41, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:38
2025-11-17 22:53:41, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:40
2025-11-17 22:54:10, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:40
2025-11-17 22:54:38, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:40
2025-11-17 23:13:04, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:40
2025-11-17 23:13:27, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:40
2025-11-17 23:13:53, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:40
2025-11-17 23:14:10, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:40
2025-11-17 23:14:20, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:40
